person,id,nnddId,birthday,birthplace,gender,raceOrEthnicity,sexualOrienation,type
Michael Lerner,Q363380,NA,22-Jun-1941,"Brooklyn, NY",Male,White,Straight,Actor
Michael Radford,Q470601,NA,24-Feb-1946,"New Delhi, Indian",Male,White,Straight,Actor
Michael V. Gazzo,Q218605,NA,05-Apr-1923,"Hillside, NJ",Male,White,Straight,Actor
Michelle Williams,Q245766,362/000109035/,09-Sep-1980,"Kalispell, MT",Female,White,Straight,Actor
Miliza Korjus,Q271465,NA,18-Aug-1909,"Warsaw, Poland",Female,White,Straight,Actor
Morten Tyldum,Q3425142,NA,19-May-1967,"Bergen, Norway",Male,White,Straight,Director
Nick Adams,Q1901917,NA,10-Jul-1931,"Nanticoke, PS",Male,White,Straight,Actor
Patricia Collinge,Q177208,NA,20-Sep-1892,"Dublin, Ireland",Female,White,Straight,Actor
Penelope Milford,Q443052,NA,23-Mar-1948,"St. Louis, MI",Female,White,Straight,Actor
Peter Cattaneo,Q1241761,NA,01-Jul-1964,"London, England",Male,White,Straight,Actor
Pietro Germi,Q53006,NA,14-Sep-1914,"Genoa, Liguria",Male,White,Straight,Actor
Quvenzhané Wallis,Q1651742,NA,28-Aug-2003,"Houna, LO",Female,White,Straight,Actor
Rachel Roberts,Q402196,NA,20-Sep-1927,Wales,Female,White,Straight,Actor
Rinko Kikuchi,Q232499,NA,06-Jan-1981,"Kanagawa, Japan",Female,Asian,Straight,Actor
Rob Marshall,Q353501,NA,17-Oct-1960,"Madison, WI",Male,White,Gay,Actor
Robert Montgomery,Q2796467,NA,21-May-1904,"New York, NY",Male,White,Straight,Actor
Robert Preston,Q1563879,NA,June- 8-1918,"Newton, Massachusetts, U.S.",Male,White,Straight,Actor
Robert Shaw,Q492138,NA,9-August-1927," Lancashire, England",Male,White,Straight,Actor
Robert Stevenson,Q415027,NA,31-March-1905,"Buxton, Derbyshire, England
",Male,White,Straight,Director
Robert Strauss,Q617972,NA,8-November-1913,"New York, USA",Male,White,Straight,Actor
Rupert Crosse,Q945512,NA,29-November-1927,"New York, USA",Male,Black,Straight,Actor
Ruth Negga,Q3453629,NA,7-January-1982,"Addis Ababa, Ethiopia",Female,Black,Straight,Actor
Scott Hicks,Q951522,NA,4- March-1953,Uganda ,Male,White,Straight,"Director, Screenwriter"
Sidney Franklin,Q385372,NA,21-March-1893,"San Francisco, USA",Male,White,Straight,"Director, Producer"
Ted Wilde,Q1350928,NA,16-December-1889,"New York, USA",Male,White,Straight,Director
Terry Moore,Q1902635,NA,7-January-1929,"California, USA",Female,White,Straight,Actor
Thomas Mitchell,Q418582,NA,11-July-1892,"California, USA",Male,White,Straight,Actor
Timothée Chalamet,Q19877770,NA,27-December-1995,"New York, USA",Male,White,Straight,Actor
Tom McCarthy,Q360001,NA,07-Jun-1966,New Jersey,Male,White,Straight,Director
Vivien Merchant,Q266397,NA,22-July-1929,"Manchester, England",Female,White,Straight,Actor
William Hickey,Q8012301,NA,19-September-1927,"Brooklyn, NY",Male,White,Straight,Actor
