"","awards","person","detail","result","year","url","X","Awardee","Gender"
"1","Best Actor","Gary Oldman "," Darkest Hour as Winston Churchill","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"2","Best Actor","Timothée Chalamet "," Call Me by Your Name as Elio Perlman","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"3","Best Actor","Daniel Day-Lewis "," Phantom Thread as Reynolds Woodcock","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"4","Best Actor","Daniel Kaluuya "," Get Out as Chris Washington","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"5","Best Actor","Denzel Washington "," Roman J. Israel, Esq. as Roman J. Israel","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"6","Best Actress","Frances McDormand "," Three Billboards Outside Ebbing, Missouri as Mildred Hayes","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"7","Best Actress","Sally Hawkins "," The Shape of Water as Elisa Esposito","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"8","Best Actress","Margot Robbie "," I, Tonya as Tonya Harding","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"9","Best Actress","Saoirse Ronan "," Lady Bird as Christine ""Lady Bird"" McPherson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"10","Best Actress","Meryl Streep "," The Post as Katharine Graham","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"11","Best Adapted Screenplay","Call Me by Your Name "," James Ivory based on the novel by André Aciman","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"12","Best Adapted Screenplay","The Disaster Artist "," Scott Neustadter and Michael H. Weber based on the book by Greg Sestero and Tom Bissell","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"13","Best Adapted Screenplay","Logan "," Screenplay by Scott Frank, James Mangold and Michael Green; Story by James Mangold based on characters from the X-Men comic books and theatrical motion pictures","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"14","Best Adapted Screenplay","Molly's Game "," Aaron Sorkin based on the memoir by Molly Bloom","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"15","Best Adapted Screenplay","Mudbound "," Virgil Williams and Dee Rees based on the novel by Hillary Jordan","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"16","Best Animated Feature Film","Coco "," Lee Unkrich and Darla K. Anderson","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"17","Best Animated Feature Film","The Boss Baby "," Tom McGrath and Ramsey Ann Naito","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"18","Best Animated Feature Film","The Breadwinner "," Nora Twomey and Anthony Leo","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"19","Best Animated Feature Film","Ferdinand "," Carlos Saldanha and Lori Forte","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"20","Best Animated Feature Film","Loving Vincent "," Dorota Kobiela, Hugh Welchman and Ivan Mactaggart","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"21","Best Animated Short Film","Dear Basketball "," Glen Keane and Kobe Bryant","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"22","Best Animated Short Film","Garden Party "," Victor Caire and Gabriel Grapperon","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"23","Best Animated Short Film","Lou "," Dave Mullins and Dana Murray","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"24","Best Animated Short Film","Negative Space "," Max Porter and Ru Kuwahata","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"25","Best Animated Short Film","Revolting Rhymes "," Jakob Schuh and Jan Lachauer","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"26","Best Cinematography","Blade Runner 2049 "," Roger Deakins","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"27","Best Cinematography","Darkest Hour "," Bruno Delbonnel","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"28","Best Cinematography","Dunkirk "," Hoyte van Hoytema","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"29","Best Cinematography","Mudbound "," Rachel Morrison","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"30","Best Cinematography","The Shape of Water "," Dan Laustsen","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"31","Best Costume Design","Phantom Thread "," Mark Bridges","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",7,"Film",""
"32","Best Costume Design","Beauty and the Beast "," Jacqueline Durran","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",7,"Film",""
"33","Best Costume Design","Darkest Hour "," Jacqueline Durran","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",7,"Film",""
"34","Best Costume Design","The Shape of Water "," Luis Sequeira","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",7,"Film",""
"35","Best Costume Design","Victoria & Abdul "," Consolata Boyle","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",7,"Film",""
"36","Best Director","Guillermo del Toro "," The Shape of Water","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",8,"Person",""
"37","Best Director","Christopher Nolan "," Dunkirk","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",8,"Person",""
"38","Best Director","Jordan Peele "," Get Out","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",8,"Person",""
"39","Best Director","Greta Gerwig "," Lady Bird","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",8,"Person",""
"40","Best Director","Paul Thomas Anderson "," Phantom Thread","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",8,"Person",""
"41","Best Documentary – Short Subject","Heaven Is a Traffic Jam on the 405 "," Frank Stiefel","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",NA,NA,NA
"42","Best Documentary – Short Subject","Edith+Eddie "," Laura Checkoway and Thomas Lee Wright","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",NA,NA,NA
"43","Best Documentary – Short Subject","Heroin(e) "," Elaine McMillion Sheldon and Kerrin Sheldon","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",NA,NA,NA
"44","Best Documentary – Short Subject","Knife Skills "," Thomas Lennon","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",NA,NA,NA
"45","Best Documentary – Short Subject","Traffic Stop "," Kate Davis and David Heilbroner","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",NA,NA,NA
"46","Best Documentary Feature","Icarus "," Bryan Fogel and Dan Cogan","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",10,"Film",""
"47","Best Documentary Feature","Abacus: Small Enough to Jail "," Steve James, Mark Mitten and Julie Goldman","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",10,"Film",""
"48","Best Documentary Feature","Faces Places "," Agnès Varda, JR and Rosalie Varda","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",10,"Film",""
"49","Best Documentary Feature","Last Men in Aleppo "," Feras Fayyad, Kareem Abeed and Søren Steen Jespersen","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",10,"Film",""
"50","Best Documentary Feature","Strong Island "," Yance Ford and Joslyn Barnes","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",10,"Film",""
"51","Best Film Editing","Dunkirk "," Lee Smith","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",11,"Film",""
"52","Best Film Editing","Baby Driver "," Paul Machliss and Jonathan Amos","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",11,"Film",""
"53","Best Film Editing","I, Tonya "," Tatiana S. Riegel","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",11,"Film",""
"54","Best Film Editing","The Shape of Water "," Sidney Wolinsky","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",11,"Film",""
"55","Best Film Editing","Three Billboards Outside Ebbing, Missouri "," Jon Gregory","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",11,"Film",""
"56","Best Foreign Language Film","A Fantastic Woman (Chile) in Spanish "," Directed by Sebastián Lelio","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",12,"Film",""
"57","Best Foreign Language Film","The Insult (Lebanon) in Arabic "," Directed by Ziad Doueiri","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",12,"Film",""
"58","Best Foreign Language Film","Loveless (Russia) in Russian "," Directed by Andrey Zvyagintsev","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",12,"Film",""
"59","Best Foreign Language Film","On Body and Soul (Hungary) in Hungarian "," Directed by Ildikó Enyedi","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",12,"Film",""
"60","Best Foreign Language Film","The Square (Sweden) in Swedish "," Directed by Ruben Östlund","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",12,"Film",""
"61","Best Live Action Short Film","The Silent Child "," Chris Overton and Rachel Shenton","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",13,"Film",""
"62","Best Live Action Short Film","DeKalb Elementary "," Reed Van Dyk","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",13,"Film",""
"63","Best Live Action Short Film","The Eleven O'Clock "," Derin Seale and Josh Lawson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",13,"Film",""
"64","Best Live Action Short Film","My Nephew Emmett "," Kevin Wilson Jr.","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",13,"Film",""
"65","Best Live Action Short Film","Watu Wote/All of Us "," Katja Benrath and Tobias Rosen","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",13,"Film",""
"66","Best Makeup and Hairstyling","Darkest Hour "," Kazuhiro Tsuji, David Malinowski and Lucy Sibbick","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",14,"Film",""
"67","Best Makeup and Hairstyling","Victoria & Abdul "," Daniel Phillips and Lou Sheppard","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",14,"Film",""
"68","Best Makeup and Hairstyling","Wonder "," Arjen Tuiten","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",14,"Film",""
"69","Best Original Score","The Shape of Water "," Alexandre Desplat","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",15,"Film",""
"70","Best Original Score","Dunkirk "," Hans Zimmer","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",15,"Film",""
"71","Best Original Score","Phantom Thread "," Jonny Greenwood","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",15,"Film",""
"72","Best Original Score","Star Wars: The Last Jedi "," John Williams","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",15,"Film",""
"73","Best Original Score","Three Billboards Outside Ebbing, Missouri "," Carter Burwell","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",15,"Film",""
"74","Best Original Screenplay","Get Out "," Jordan Peele","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",16,"Film",""
"75","Best Original Screenplay","The Big Sick "," Emily V. Gordon and Kumail Nanjiani","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",16,"Film",""
"76","Best Original Screenplay","Lady Bird "," Greta Gerwig","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",16,"Film",""
"77","Best Original Screenplay","The Shape of Water "," Screenplay by Guillermo del Toro and Vanessa Taylor; Story by Guillermo del Toro","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",16,"Film",""
"78","Best Original Screenplay","Three Billboards Outside Ebbing, Missouri "," Martin McDonagh","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",16,"Film",""
"79","Best Original Song","""Remember Me"" from Coco "," Music and Lyrics by Kristen Anderson-Lopez and Robert Lopez","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",17,"Film",""
"80","Best Original Song","""Mighty River"" from Mudbound "," Music and Lyrics by Mary J. Blige, Raphael Saadiq and Taura Stinson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",17,"Film",""
"81","Best Original Song","""Mystery of Love"" from Call Me by Your Name "," Music and Lyrics by Sufjan Stevens","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",17,"Film",""
"82","Best Original Song","""Stand Up for Something"" from Marshall "," Music by Diane Warren; Lyrics by Common and Diane Warren","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",17,"Film",""
"83","Best Original Song","""This Is Me"" from The Greatest Showman "," Music and Lyrics by Benj Pasek and Justin Paul","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",17,"Film",""
"84","Best Picture","The Shape of Water "," Guillermo del Toro and J. Miles Dale","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"85","Best Picture","Call Me by Your Name "," Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"86","Best Picture","Darkest Hour "," Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"87","Best Picture","Dunkirk "," Emma Thomas and Christopher Nolan","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"88","Best Picture","Get Out "," Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"89","Best Picture","Lady Bird "," Scott Rudin, Eli Bush, and Evelyn O'Neill","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"90","Best Picture","Phantom Thread "," JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"91","Best Picture","The Post "," Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"92","Best Picture","Three Billboards Outside Ebbing, Missouri "," Graham Broadbent, Pete Czernin, and Martin McDonagh","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",18,"Film",""
"93","Best Production Design","The Shape of Water "," Production Design: Paul Denham Austerberry; Set Decoration: Shane Vieau and Jeff Melvin","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",19,"Film",""
"94","Best Production Design","Beauty and the Beast "," Production Design: Sarah Greenwood; Set Decoration: Katie Spencer","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",19,"Film",""
"95","Best Production Design","Blade Runner 2049 "," Production Design: Dennis Gassner; Set Decoration: Alessandra Querzola","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",19,"Film",""
"96","Best Production Design","Darkest Hour "," Production Design: Sarah Greenwood; Set Decoration: Katie Spencer","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",19,"Film",""
"97","Best Production Design","Dunkirk "," Production Design: Nathan Crowley; Set Decoration: Gary Fettis","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",19,"Film",""
"98","Best Sound Editing","Dunkirk "," Richard King and Alex Gibson","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",20,"Film",""
"99","Best Sound Editing","Baby Driver "," Julian Slater","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",20,"Film",""
"100","Best Sound Editing","Blade Runner 2049 "," Mark Mangini and Theo Green","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",20,"Film",""
"101","Best Sound Editing","The Shape of Water "," Nathan Robitaille and Nelson Ferreira","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",20,"Film",""
"102","Best Sound Editing","Star Wars: The Last Jedi "," Matthew Wood and Ren Klyce","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",20,"Film",""
"103","Best Sound Mixing","Dunkirk "," Mark Weingarten, Gregg Landaker and Gary A. Rizzo","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",21,"Film",""
"104","Best Sound Mixing","Baby Driver "," Julian Slater, Tim Cavagin and Mary H. Ellis","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",21,"Film",""
"105","Best Sound Mixing","Blade Runner 2049 "," Ron Bartlett, Doug Hemphill and Mac Ruth","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",21,"Film",""
"106","Best Sound Mixing","The Shape of Water "," Christian Cooke, Brad Zoern and Glen Gauthier","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",21,"Film",""
"107","Best Sound Mixing","Star Wars: The Last Jedi "," David Parker, Michael Semanick, Ren Klyce and Stuart Wilson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",21,"Film",""
"108","Best Supporting Actor","Sam Rockwell "," Three Billboards Outside Ebbing, Missouri as Officer Jason Dixon","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",22,"Person","Male"
"109","Best Supporting Actor","Willem Dafoe "," The Florida Project as Bobby Hicks","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",22,"Person","Male"
"110","Best Supporting Actor","Woody Harrelson "," Three Billboards Outside Ebbing, Missouri as Chief Bill Willoughby","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",22,"Person","Male"
"111","Best Supporting Actor","Richard Jenkins "," The Shape of Water as Giles","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",22,"Person","Male"
"112","Best Supporting Actor","Christopher Plummer "," All the Money in the World as J. Paul Getty","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",22,"Person","Male"
"113","Best Supporting Actress","Allison Janney "," I, Tonya as LaVona Golden","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",23,"Person","Female"
"114","Best Supporting Actress","Mary J. Blige "," Mudbound as Florence Jackson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",23,"Person","Female"
"115","Best Supporting Actress","Lesley Manville "," Phantom Thread as Cyril Woodcock","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",23,"Person","Female"
"116","Best Supporting Actress","Laurie Metcalf "," Lady Bird as Marion McPherson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",23,"Person","Female"
"117","Best Supporting Actress","Octavia Spencer "," The Shape of Water as Zelda Delilah Fuller","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",23,"Person","Female"
"118","Best Visual Effects","Blade Runner 2049 "," John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",24,"Film",""
"119","Best Visual Effects","Guardians of the Galaxy Vol. 2 "," Christopher Townsend, Guy Williams, Jonathan Fawkner and Dan Sudick","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",24,"Film",""
"120","Best Visual Effects","Kong: Skull Island "," Stephen Rosenbaum, Jeff White, Scott Benza and Mike Meinardus","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",24,"Film",""
"121","Best Visual Effects","Star Wars: The Last Jedi "," Ben Morris, Mike Mulholland, Neal Scanlan and Chris Corbould","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",24,"Film",""
"122","Best Visual Effects","War for the Planet of the Apes "," Joe Letteri, Daniel Barrett, Dan Lemmon and Joel Whist","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",24,"Film",""
"123","Best Actor","Casey Affleck "," Manchester by the Sea as Lee Chandler","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",1,"Person","Male"
"124","Best Actor","Andrew Garfield "," Hacksaw Ridge as Desmond T. Doss","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",1,"Person","Male"
"125","Best Actor","Ryan Gosling "," La La Land as Sebastian Wilder","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",1,"Person","Male"
"126","Best Actor","Viggo Mortensen "," Captain Fantastic as Ben Cash","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",1,"Person","Male"
"127","Best Actor","Denzel Washington "," Fences as Troy Maxson","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",1,"Person","Male"
"128","Best Actress","Emma Stone "," La La Land as Mia Dolan","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",2,"Person","Female"
"129","Best Actress","Isabelle Huppert "," Elle as Michèle Leblanc","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",2,"Person","Female"
"130","Best Actress","Ruth Negga "," Loving as Mildred Loving","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",2,"Person","Female"
"131","Best Actress","Natalie Portman "," Jackie as Jackie Kennedy","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",2,"Person","Female"
"132","Best Actress","Meryl Streep "," Florence Foster Jenkins as Florence Foster Jenkins","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",2,"Person","Female"
"133","Best Adapted Screenplay","Moonlight "," Screenplay by Barry Jenkins; Story by Tarell Alvin McCraney based on the play In Moonlight Black Boys Look Blue by Tarell Alvin McCraney","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",3,"Film",""
"134","Best Adapted Screenplay","Arrival "," Eric Heisserer based on the story ""Story of Your Life"" written by Ted Chiang","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",3,"Film",""
"135","Best Adapted Screenplay","Fences "," August Wilson (posthumous nomination) based on his play","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",3,"Film",""
"136","Best Adapted Screenplay","Hidden Figures "," Allison Schroeder and Theodore Melfi based on the book by Margot Lee Shetterly","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",3,"Film",""
"137","Best Adapted Screenplay","Lion "," Luke Davies adapted from the book A Long Way Home by Saroo Brierley","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",3,"Film",""
"138","Best Animated Feature Film","Zootopia "," Byron Howard, Rich Moore, and Clark Spencer","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",4,"Film",""
"139","Best Animated Feature Film","Kubo and the Two Strings "," Travis Knight and Arianne Sutner","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",4,"Film",""
"140","Best Animated Feature Film","Moana "," John Musker, Ron Clements, and Osnat Shurer","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",4,"Film",""
"141","Best Animated Feature Film","My Life as a Zucchini "," Claude Barras and Max Karli","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",4,"Film",""
"142","Best Animated Feature Film","The Red Turtle "," Michaël Dudok de Wit and Toshio Suzuki","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",4,"Film",""
"143","Best Animated Short Film","Piper "," Alan Barillaro and Marc Sondheimer","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",5,"Film",""
"144","Best Animated Short Film","Blind Vaysha "," Theodore Ushev","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",5,"Film",""
"145","Best Animated Short Film","Borrowed Time "," Andrew Coats and Lou Hamou-Lhadj","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",5,"Film",""
"146","Best Animated Short Film","Pear Cider and Cigarettes "," Robert Valley and Cara Speller","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",5,"Film",""
"147","Best Animated Short Film","Pearl "," Patrick Osborne","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",5,"Film",""
"148","Best Cinematography","La La Land "," Linus Sandgren","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",6,"Film",""
"149","Best Cinematography","Arrival "," Bradford Young","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",6,"Film",""
"150","Best Cinematography","Lion "," Greig Fraser","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",6,"Film",""
"151","Best Cinematography","Moonlight "," James Laxton","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",6,"Film",""
"152","Best Cinematography","Silence "," Rodrigo Prieto","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",6,"Film",""
"153","Best Costume Design","Fantastic Beasts and Where to Find Them "," Colleen Atwood","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",7,"Film",""
"154","Best Costume Design","Allied "," Joanna Johnston","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",7,"Film",""
"155","Best Costume Design","Florence Foster Jenkins "," Consolata Boyle","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",7,"Film",""
"156","Best Costume Design","Jackie "," Madeline Fontaine","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",7,"Film",""
"157","Best Costume Design","La La Land "," Mary Zophres","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",7,"Film",""
"158","Best Director","Damien Chazelle "," La La Land","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",8,"Person",""
"159","Best Director","Denis Villeneuve "," Arrival","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",8,"Person",""
"160","Best Director","Mel Gibson "," Hacksaw Ridge","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",8,"Person",""
"161","Best Director","Kenneth Lonergan "," Manchester by the Sea","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",8,"Person",""
"162","Best Director","Barry Jenkins "," Moonlight","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",8,"Person",""
"163","Best Documentary – Feature","O.J.: Made in America "," Ezra Edelman and Caroline Waterlow","winner",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"164","Best Documentary – Feature","Fire at Sea "," Gianfranco Rosi and Donatella Palermo","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"165","Best Documentary – Feature","I Am Not Your Negro "," Raoul Peck, Rémi Grellety, and Hébert Peck","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
"166","Best Documentary – Feature","Life, Animated "," Roger Ross Williams and Julie Goldman","nominated",2017,"https://en.wikipedia.org/wiki/89th_Academy_Awards",NA,NA,NA
